well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
514,0,93.0,8084,2374,2346
515,0,93.0,8091,2251,2240
516,0,93.0,7990,2115,2099
517,0,93.0,8188,1856,1843
518,0,93.0,9900,3287,3128
519,0,92.0,8096,2781,2766
520,0,93.0,8460,1143,865
521,0,93.0,8366,2109,2089
522,0,93.0,8366,2517,2490
523,0,93.0,8280,2050,2036
524,0,93.0,8360,1834,1798
525,0,93.0,8455,1287,1265
526,0,93.0,8455,762,256
527,0,92.0,33124,10175,9725
528,0,91.0,8366,2474,2452
529,0,93.0,8265,2158,2127
530,0,93.0,8366,1769,1751
531,0,93.0,8554,1661,1652
532,0,93.0,8722,1641,1608
533,0,93.0,8372,2796,2749
534,0,93.0,8265,3018,3021
535,0,93.0,8008,2613,2590
536,0,93.0,8178,2751,2733
537,0,93.0,8184,2355,2301
538,0,92.0,8272,2110,2102
539,0,93.0,33124,8753,8649
540,0,93.0,8272,2160,2149
541,0,93.0,8820,2307,2295
542,0,93.0,8460,3083,3062
543,0,93.0,8645,2902,2888
544,0,93.0,8645,2500,2458
545,0,93.0,33124,10235,10119
546,0,94.0,33124,10099,9983
547,0,93.0,33124,10221,10004
548,0,92.0,8556,2938,2901
549,0,93.0,8360,2818,2796
550,0,93.0,8366,2631,2598
551,0,92.0,8366,2553,2523
552,0,90.0,8178,2913,2740
553,0,92.0,8832,2587,2572
554,0,93.0,8178,2901,2876
555,0,93.0,8096,3196,3155
556,0,93.0,8366,2955,2934
557,0,93.0,8366,2814,2788
558,0,93.0,8460,2510,2499
559,0,93.0,33124,9462,9350
560,0,94.0,8455,2952,2921
561,0,93.0,8170,2206,2192
562,0,94.0,8888,2843,2838
563,0,93.0,8360,3161,3068
564,0,93.0,11286,3349,3246
565,0,93.0,8448,2074,2036
566,0,94.0,8265,1461,1339
567,0,94.0,8360,902,500
568,0,93.0,33124,9629,9601
569,0,93.0,8091,3337,3285
570,0,93.0,7920,3016,3010
571,0,88.0,8004,2923,2899
572,0,88.0,8008,2728,2710
573,0,92.0,7998,2543,2516
574,0,93.0,8722,3251,3250
575,0,93.0,8096,3043,2979
576,0,92.0,8178,3015,3002
577,0,93.0,33124,9005,9013
578,0,92.0,8366,2405,2371
579,0,93.0,8277,1779,1739
580,0,93.0,8360,3111,3083
581,0,93.0,8170,2801,2624
582,0,94.0,14274,3900,3837
583,0,93.0,8550,3153,3111
584,0,93.0,8360,2890,2862
585,0,94.0,8265,2464,2438
586,0,94.0,8366,2256,2233
587,0,94.0,8272,1757,1583
588,0,94.0,8008,1391,1356
589,0,94.0,8277,3026,2909
590,0,93.0,8084,3191,3155
591,0,91.0,8184,3268,3254
592,0,91.0,8178,3192,3156
593,0,93.0,8272,2907,2879
594,0,93.0,8370,3013,2994
595,0,93.0,33124,9249,9257
596,0,93.0,33124,9506,9508
597,0,93.0,8366,2978,2955
598,0,92.0,8184,2730,2554
599,0,93.0,8075,1925,1898
600,0,94.0,33124,9694,9667
601,0,94.0,33124,10264,10129
602,0,94.0,8370,2330,2303
603,0,94.0,9300,2857,2844
604,0,93.0,8448,3161,3124
605,0,94.0,8265,3266,3136
606,0,95.0,8084,2808,2805
607,0,95.0,8091,2504,2475
608,0,94.0,8256,2276,2222
609,0,94.0,10212,3339,3362
610,0,94.0,8366,2735,2709
611,0,93.0,8280,2900,2868
612,0,93.0,8366,2955,2937
613,0,93.0,8184,3052,2999
614,0,93.0,33124,11150,10881
